'Hi I&rsquo;m a Kara enthusiast'
'Pfff, o pasirašius &quot;quirky&quot; tik'
'Nors gal merginom čia nėra kas veikt ant tinderio xd'
'Parsiduot xd'
'Okok, kaip čia lietuviškai'
'Reklamuoti gal labiau čia reik sakyt'
'Ouu, kokie skirtingi dalykai &colon;D'
'Kokia kalba programuoji?'
'Čia irgi su mokykla ar jau rimčiau &colon;D?'
'Vežuos kompą vien tam, kad skolas programvimo grąžinčiau, tai fun bus prie +30 programuot'
'Mane tai labai nervina, kad programavime yra tas word programoj'
'Ir ten tokios nesąmonės'
'Mano stalas visada kenčia, kai su word tenka dirbt'
'Heyy, kaip kelionė?'
'Įdomi tokia, policiją įvedė ,nes kaukių nenorėjo dėtis kažkas &colon;D'
'Kokiame viešbuty būsi apsistojus?'
'Bliam man tai žiauriai keistai, nesu buvęs tokioj kelionėj'
'Visada kokias turistines ar panašiai varau'
'O dabar gulėt ir kept keista kažkaip xd'
'Bet pirmą dieną, kai toks baltutis buvau, tai visi tie darbuotojai klausinėjo ir siūlė visko'
'Nu iš esmės aš irgi, nes ant vakaro atskridau šeštadienį, bet jau po biški irgi pritampu prie vietinių &colon;D'
'Kad šeštadienį, tai jo, bet kelintą skrydis?'
'Oh wow, dvi savaitės &colon;D'
'Rytoj ;&lpar;'
'Va 10 dienų gerai būtų, o dabar kažkaip per greit xd'
'Bliamba jo, taip nelaukiu to šalčio'
'Tik va aš su tėvais atvaręs, tai biški nuobodžiai kartais, vakare tik susitinku kažką paveikt su lietuvėm tokiom'
'Tai davai, išsiskirsi, pusė turtų'
'Ai su arabiukais čia xd?'
'Nu nežinau, keistas jis, tik kartais mielas'
'Bet perduosiu komplimentą'
'Ką Kamilė gero?'
'Tai dabar ne tik, kad 17 gausi ban, o dar ir vardas ne tas'
'Haha, funny būtų, jei žaisčiau'
'Ai nors ne, taigi women negali funny būt, pamirštu kartais'
'Nu matau, kad padejėjas išima alternative direct current iš baseino'
'Nematau, kur juokelis'
'50% išlaikau reikalavimus, kaži koks stojamasis balas?'
'Nu tai rašau močiutei, kad atšauktos vestuvės, eh'
'Tai žinok laišką rašau aš jai, niekur neskubu'
'Dar kol nuneš pašto karvelis jai tą laišką'
'Valgau&sol;treniruotei jau kaip ir ruošiuos, šiaip labai boring diena'
'Ouu, sėkmės susitinkant, pas mane tai oras tragiškas tokiem dalykam xd'
'Nu realiai joo, tokiu oru mašinoj ir tebūt, kai viskas uždaryta'
'Čia pliusas merginom būna jaunesnėm atrodyt ar kaip?'
'O tai minusai kokie?'
'Nu šiaip iš bendravimo dabar tikrai jaučiasi, kad ne vaikas &colon;D O šiaip jo, supratau dabar, kažkaip nebuvau taip giliai pagalvojęs šituo klausimu xd'
'Ai dar va įdomu, iš kur esi? Iš atstumo tai spėju Šiauliai'
'Iš Kretingos, bet pusiau ir Palangos, nes ten labai jau daug tenka būt'
'Kaip tik ėjau žygį po Naująją Akmenę, po karjerus &lpar;tikiuos nemaišau aš su kokiu kitu miestu &colon;Dd&rpar;'
'Vienas smagiausių ever žygių. 3 dienas po 20km viską nešantis su savim - maistą, palapines'
'Ir dar be telefonų visai'
'Tikrai labai smagu ir patiko tie karjerai, bet pats miestas labai miręs pasirodė &colon;D'
'Labai įdomiai atrodo tai &colon;D Atkreipėm irgi dėmesio, kad tvarkinga viskas, o žmonių 0'
'Kaip tu? Besusitikai su draugėm?'
'Grįžau ką tik po sporto, manau reiks eit pamiegot ir kibt į darbus. Varginana tokiais orais mane'
'Bet aš pastebėjau šiandien labai visi susitikinėja, iš kur tiek noro lįst iš namų &colon;D Jau net ir mašinoje nėra taip smagu, kai lyja'
'Konferencija tokia trečiadienį, ruošiu pristatymą'
'Aii, nu tada jo &colon;D Aš kaip tik nuo penktadienio stengiaus kuo daugiau lauke, nes rodė, kad tokie bus oreliai mieli'
'Tai good for you, tikrai reikia pasižmogėti'
'Čia tokia posodybinė sveikata buvo ar šiaip kažkas xd?'
'Baltymų ir amino rūgščių atpažinimo reakcijos, boring stuff'
'Matyt, kad vanduo parūgęs buvo'
'Dar ne, mokykla kol kas. O tu?'
'Kokia buvo specialybė?'
'Gal kai rasi ar Lietuvoj ar užsienyje darbą, labai patiks ir bus tik į gerą'
'Ir dar ta pandemija, labai apsunkina tikrai darbo reikalus visus'
'Aš bandysiu į mediciną stot, tai gal panašiai gausis ir man'
'Išmanau, bet reikia dar įdėt pastangų tikrai'
'Jei nepavyks, tikriausiai kinezoterapiją stosiu'
'Gerai, bet sunku per nuotolinį motyvacijos rast'
'Kam mokytis, jei miegot galima'
'O kaip su drauge?'
'Ayeoo, ty ty&colon;&rpar; Betrūksta, kad padainuotum ir einam nušluot visus apdovanojimus muzikinius'
'Moki stiprus žodis, pats tik metus groju &colon;D'
'Bet pagroju pagroju, labai smagu mokytis'
'Ir didžiausios sekmės, bet žinok, jei aš sugebėjau, nebus kas veikt tau'
'Bliam pamenu anksčiau sumatchinom, bet buvau ištrynęs programą, tai nespėjau parašyt ir jau žiūriu kitą tavo paskyrą rodo &colon;D'
'Ir šiaip fun būtų susipažint tik tokiu laiku parašei, kad knygą visą turiu iki rytojaus perskaityt, tai laiko nėr xd'
'Yeahh, bet čia gal prieš mėnesį'
'Tame ir prikolas, kad iki 1 nakties skaityt reiks, tai nekažką &colon;D'
'Bet va jei netyčia ig duotum, būtinai ryt parašyčiai xd, Dar va kaip tik Palangoj būsiu ryt'
'Žiauriai geras dalykas pailsėt, aš mėnesį pirmą metų irgi bandžiau, tai labai patiko'
'3 kaip minimum'
'Nu žiūrėsim ar užteks'
'Reik paaugint dar biški ir tikrai užteks'
'Bet reik ne į šonus rišt, o labiau į viršų'
'Nes žemas atrodysiu, jei į šonus eis'
'Dar reikia pagooglint ar įmanoma būt alergišku gumelėm'
'Ne, ana, alkoholis kenkia jums ir jūsų aplinkiniems.'
'Bonkes pačias paliks jaučiu, nepakels'
'Bet kad išlaks, tai faktas'
'Tai tada kaip ir ok, bet alkoholis smurtą skatina'
'Bijau užgausi kokią lapę'
'Žinai, gyvunėlių gaila'
'Galėsi, bet žinok čia tokia loterija yra, nes pataikyt ant trumpų gali'
'Nu žinok reik skubėt, po Velykų jau reiks kirpt'
'Liucile, nemeluosiu, labai fun, kad pirma parašei &lpar;retas atvejis čia&rpar;, bet esu ant tiek nenuotaikoj kažką šmaikštaus ar panašiai rašyt &colon;Dd'
'Tai tik sakau, not your fault, kad dead conversation, bet aš labai jau tired&sol;nenuotaikoj kažką normaliau atrašyt'
'Nėra baimės, kad pažiūrėsi į apačią ir arteriją persidursi kaklo su tokiu choker? Looks sick, bet tuo pačiu ir pavojingai'
'Ai, nu aišku. Galvojau su juo ir prasidūrei skylę auskarui lūpoje'
'Šiaip negalėjau gitaros case nepastebėt, su kokia groji &colon;D?'
'Ai, nu tai elektrinę jau tada, jei goinsi crazy xd'
'Nuo 0 pradėsi ar pramokai jau su ta nesavo grot?'
'Metus kažkur taip normaliau, va savaitgalį susiradau ir mokytoją pagaliau'
'Bet aš ne tiek cool, kad su elektrine, su klasikine mokiaus ir neseniai akustinę nusipirkau'
'Bet bliam, ką per tuos metus supratau, kad gitara yra tiesiog hella sudėtingas pianinas ir kad nemuzikaliam žmogui labai sunku kažką rimčiau išmokt'
'Exactly me. Išmokau grot savarankiškai, bet kaip instrumentą pačiam išmokt, be šansų buvo. +Motyvacija daug didesnė, o kai tas mokytojas yra sesės bahūras gal 5 metus ir nu realiai tiesiog draugas man, labai palengviną viską'
'Manau dar daug laiko turi, kol galėsi eit pas mokytojus &colon;D corona and stuff'
'Ką dar įdomesnio be spyglių ant kaklo ir gitaros mėgsti &colon;D?'
'Ouhh, I mean matosi, kad expressive person esi iš išorės jau vien'
'Aš tai toks nuobodesnis, kadangi labai daug laiko skyriau sportui per pastaruosiuos 10 metų, bet va dabar taip jau gavos, kad keistis teko'
'Tai pradėjau grot, skatint, skaityt daugiau, cross stitch &lpar;idek why&rpar;'
'Bet va taip gavosi, kad futbolą 10 metų pražaidus viską per vienas varžybas praradau dėl traumos'
'Tai teko kažkur kitur energiją dėti'
'O su skatinimu panašiai man, kadangi su cruiseriu važinėju, tai daug ten labai ir nepadarysi kažko ir dar ta pati trauma biški ir varžo &colon;D Bet važinėt labai fun, apie nieką negalvoji'
'Man tai pradėjo trūkt energijos, kai nesportuot buvau pradėjęs, bet čia jau biologija, tai lets not get in to that &colon;D'
'Bet šiaip tai nėra ko užjaust, pats kaltas visada tokiais atvejais būni'
'Ir I guess labai padėjo kitais aspektais tas dalykas &colon;D'
'Pavyzdžiui sužinojau, kad man labai įdomi anatomija žmogaus ir basically nusprendžiau kur stoti per tuos 2 metus traumos &colon;D'
'Mediciną, bet čia dar ir sėkmės prireiks biški'
'Nu netiesiog tapsi piercere'
'Jei tai patinka, o kitam dalykui nėra motyvacijos, tai vis tiek gerai'
'Laukiu nesulaukiau per kolonėles pasileist tą dainą ir nervint visą medicinos fakultetą'
'c&colon; Viskas, dabar man priklauso bent menkiausias lyric toje dainoje'
'Oi, muzikos skonis. Okok'
'Labai svyruoja jis pas mane'
'Nuo akustinių Passenger dainų iki punk rock'
'Kažkiek hip hop irgi yra playlistuose'
'Manau, kad dabar taip yra pasidarę'
'Kad žmonės visko klauso'
'Labai jau retai sutiksi kažką, kad sakys - klausau tik repo ar panašiai'
'Muzika vis tiek juk art, tai manau nėra visiem taip pat ji suprantama &colon;D Manau, kad didžioji dalis, kaip ir sakai,  klausosi nuotaiką atspindi kas'
'Bet man pavydžiui gali visai kitką atspindėt ta pati daina &colon;D'
'Nežinau, per daug aš tired išmąstyt čia kažką jau wowt tokio &colon;D'
'Tai minčių šuolių pilna'
'Galvoju eit miegot, man čia per tinder kažkaip nejauku būtų beparašyt kitą dieną&colon;D Tai gal nieko pries prie ig ar kažko panašaus pridėt xd?'
'Night, nieko jau neišeis gudraus čia parašyt &colon;D'
'Žinok nemeluosiu, gaming set up&apos;ą pirmiausia pastebėjau, bet labai sick make up antroj fotkėj'
'Wait, tu ne iš Švedijos kartais?'
'Ai nu bliam, galvojau tokios akys, kad iš Švedijos būsi'
'Bet tai realiai keista, niekada nesu matęs, nors pats 50% laiko Palangoj praleisdavau'
'Smh, nu tipo, kad aklųjų ženklas'
'Heyo, tu iš Švedijos gal kartais?'
'Nu aišku, šiaip klausiu, nes akys labai gražios'
'Nu niekis juk, reik pozityvą skleist'
'Kaip čia taip vėlai nemiegi?'
'Nu tavo priežastis daug smagesnė tada jau &colon;D'
'Csgo žaidžiau, bet kadangi čia tinderis ir reik būt įdomiam'
'Tai tarkim kokį romaną skaičiau'
'Apie daktarą'
'Nu tarkim taip'
'It tarkim labai įdomi knyga, todėl nieko nesakysiu apie ją, kad neišduot'
'Bet panaudok šitą romaną, kai nenorėsi pasakyt, kad tarkim visą dieną serialus žiūrėjai ar gameinai'
'Reiks pagalvot apie tokį variantą. Dabar tai tiesiog nebesirišu, tai negali atsirišę batai atsirišt vėl'
'Nu nežinau, kol neturiu užsegamų'
'Tai geriau nukrist, nei amputuot nušalusias kojas, nes basom vaikščiojau'
'Tai gaila crocsų, myliamiausi mano'
'So crocsais tik šiukšles išnešt'
'Turi būt jie pristine'
'Bet žinai, pavasaris ateina jau'
'Žemė atšils'
'Tai basom labai sveika ir labai padeda pėdą suaktyvint'
'Geriausias sportas pėdai - čeburėkus prie jūros pardavinėt'
'Nu tikrai taip, pagalvosiu tikrai apie užsegamus'
'Nu batai irgi greitai gan užsiriša'
'Va flip flopais reiks eit gal'
'Bet nukris jaučiu'
'Vyžas reiks pasidaryt gal tada?'
'Donelaičio pėdom eit'
'Bet užtat, kai išmoksiu tvirtais batus užsirišt, skrisiu kaip nežinau kas be vyžų'
'Tai ir taip visada po kokios traumos, tai nieko'
'if you don&apos;t mind me asking, iš kur esi?'
'Aaa, galvojau Palangoj būsi'
'Link Gargždų labiau gyveni ar kur, kad netoli Klp'
'Heyo, čia dar privalu rašyt pick up lines ar geriau tiesiog šiaip parašyt?'
'Iškaziolino, kad 17 tinderiui ar kaip?'
'Manau čiuveliai užsitrigerina ir reportina, jei korta nepaeina'
'Sunkus tas gyvenimas, kai gauni 2 match per diena ir tai ten pasirodo vaikai su fake amžium'
'Aš ne apie save, jei kas xd'
'Tie marozėliai nesupranta'
'Kaip jų bmw gali nepritraukt kiekvienos'
'Dar liūdniau, kai pritraukia tbh xd'
'Tai neduok dieve paimsi už rankos'
'Iškart straipsnis'
'Jei dar sugalvosi apsikabint pasisveikinant, tai išvis'
'Kodėl?'
'Ant ko užsirovei jau &colon;D?'
'Nu tai smagiai smagiai'
'Nu kžn, tai kad realiai lolo ten nebelošia'
'Tai jaučiu ir nepastebėjo'
'Net nesu atsisiuntęs'
'Kad pc nesmirdėtų lolu'
'Apsimesiu, kad nesupratau, jog čia ironiškai'
'Tai ačiū ačiū, here all night'
'Tai kaip šiaip? Atlaisvėjo ten žirgynai ir panašiai?'
'Nu taip neblogai neblogai'
'Draugus po 3 mėn pamačiau neseniai &colon;D'
'Bet čia tik dėl to nes prašei'
'Gal tu 1863-64m.? Nes man sukilimas žemesnėje klasėje&colon;&rpar;'
'Kiek kartų jau rašius &quot;Geriausias is visu matytu&quot;? &colon;D'
'Bet šiaip šitas geras, nes leidžia išmokt sukilimo datą'
'Tikrai neprisiminčiau, bet šitas mintyse jau užkodavo'
'Jeigu tu gali šitą naudot'
'Ai nu okok, jau žinai toks biški išsigandęs buvau'
'Anyhow, kaip gyvenimėlis, Vaiva?'
'Po truputi skamba taip liūdnokai'
'Bet antra žinutė tai smagi'
'Kokį turi boardą?'
'Kur važinėt labiausiai tau? Man tai žiauriai dviračiu taku per pušynus labai fun'
'Labai žiauriai fun'
'O šiaip pati iš kur?'
'Kretingos +-'
'Bliam 4km, įdomiai čia tas tinderis rodo'
'Tai smagu dar, į Klaipėdą gali varyt'
'Man tai toj Kretingoj ant tiek jau buvo nuvažiavęs stogas'
'Gavau neseniai leidimą į Palangą'
'&colon;D nu realiai Kretingsodyje'
'Bet čia grynai Kretinga, bažnyčią per langą matau'
'Kretingalė Klp rajonas?'
'O mokyklą tai Klaipėdoj tada, yeah?'
'Gal skaitei neseniai apie Kretingos mokyklą xd?'
'Belekiek apie Pranciškonus rašo dabad'
'Nes galėjau padaryt, kad daug greičiau ištrintų tą post'
'Aš taip pamačiau, galvoju YIKES'
'Sakau tėvui, kuris su direktoriu sueina, bet blogai išaiškinau, ant kiek ten Yikes'
'Būtų suskambinęs ir ištrynę būtų, jei gerai paaiškinęs būčiau'
'Grynai tik tas, kad per mokyklos paskyrą paskelbė'
'Turi teisę reikšt, ką mano'
'Todėl ir rodo dabar, kad 19, nes nuo 17 naudot pradėjau &colon;D'
'Ir kaip ta 10-ta klasė?'
'Man lengviausia kol kas buvo ji &colon;D'
'Groji kuo?'
'Turiu labai daug respect žmonėms, kurie instrumentą moka kokį'
'Toks ten užsiknisimas išmokt'
'Nuo 3 metų grot'
'Ką tu svaigsti xd'
'Aš tiesiai bėgt jaučiu nemokėjau jaučiu 3m.'
'Pati norėjai nuo mažens ar tėvai siūlė?'
'Nu bet jei jau patinka'
'Tai gal ir gerai, kad privertė &colon;D'
'Aš tai save priverčiau su gitara mokintis'
'Ir džiaugiuos dabar, kad prisiverčiau'
'Tai kokios naujienos laikraštyje? Jei gali, ten matau paskutiniam puslapyje yra, pasakyk koks oras ryt'
'Ohh, gerai, va dabar reikės būtinai ir nueit, kad pasakei'
'Pačiai prieinama jūra per karantiną? Man tai ojoj, kokia palaima buvo gaut leidimą vėl &colon;D'
'Pamenu pirmam karantine visą pakrantę  nuo Karklės iki sienos pirmyn atgal suvaikščiojau &colon;D Fun stuff'
'Na bet žiemą ten nekažką iš tikro dabar, vėjas nemalonus buvo nuo jūros labai'
'Bet va šiandien tai wow buvo, neina gaila čia foto įkelt'
'Terapija tai jooo, ta foto prie jūros mano dar buvo su  &quot;Testuoju jūros terapiją meniskam gydytis, pranešiu rezultatus&quot; text ar kažkas tokio &colon;D'
'Ta va, galiu pasakyt, kad tikrai padeda, gal ne meniskam, bet galva tai skaidri kaip stiklas lieka'
'Pranciškonų gimnazijos, jei žinosi'
'I mean jei nežinojai, dabar žinai &colon;D'
'o btw, iš kurios mokyklos tu?'
'20km nesufleravo, kad ne iš Klaipėdos &colon;D?'
'Pala, Vydūno gimnazijoj esu buvęs gal 2 kartus'
'Nes ten kažkaip olimpiados matematikos vyksta, bet gal ir maišau tai idk idk'
'O tau kaip? Kokioj klasėj esi?'
'Nu egzamino tai reikia, reikia. Manau vis tiek išlaikysi bent'
'Aš tai 11, tad atsipalaidavęs dar, ne tiek dar suka galvą egzaminai'
'Jau sugalvojus kur stoti?'
'Ouuu, menai skamba įdomiai. Pati tada kokiu menu užsiimi? Aš tai galvoju į mediciną stoti, bet čia dar reiks pasistengti link to'
'Btw nenuėjau prie jūros, taip jau gavos'
'Labai smagu visada girdėt, kai žmonės siekt žada to, ko nori iš tikro, so good on you&colon;&rpar;'
'Nu joa, ten yra yra biški. 8 metai studijų nevilioja, bet man artima&sol;dominanti sritis, tai kaip nors'
'O šiaip be teatro ir šokių, kuo dar užsiimi?'
'Nu realiai nėra taip blogai būt šakute, sriuboj irgi ne viskas vien skysčiai.'
'Tai laužyt standartus reikia'
'Labai primeni vieną žmogų, neįsižeisk, jei ne tu &colon;D'
'Norėjau paskaityt ką ten gal rašemės, bet ištryniau, matyt, kažkada žinutes xd'
'Tai kaip sekasi su sveikata? Kiek pamenu kažkas tau ten buvo, kad kraują perpilinėjo'
'Ai po biški aš, dar nesu po traumos atsigavęs, tai nelakstau kaip tu &lpar;manrods šitą buvau sakęs tada seniau&rpar;'
'Su maistu dirbi gal, kad apie sriubas bio &colon;D?'
'Nu va, abu prisimenam kažką&colon;D'
'Ir kaip sekės? Reikėjo skysčius atskirai išgert su šakute valagant'
'Ai nu true, nes jei pati kaip šakutė, tai gautųsi su rankom, jei dabar su šakute valgytum'
'O tai kaip su darbu tokiu laiku? Tik išsinešimui kartais nėra dabar?'
'Bet geriau padavėja bus būt, nei dabar'
'Niekas arbatos juk dabar neduoda'
'Išvis ką dabar padavėjams reik daryt&colon;D?'
'Prie durų maistą nunešt?'
'O prie staliukų bus pagr dalykas, kai atsidarys, tai joooo'
'Smagu bus priprast'
'Bandysi į virtuvę patekti palei profesiją, yeah?'
'Xd Ai nu tai šiaip pasibaigei'
'Nu tai nieko, kažką susigalvosi &colon;D'
'Aš tai va vargstu, nes mediciną galvoju stot, tai vajei vajei xd'
'Sapnuojas ta biologija jau'
'Ir lavonus skruost reiks'
'Smagios tos medicinos studijos'
'30m. susirandi tik pastovų darbą kažkur &colon;D'
'Nu drąsiai, gal reiktų dar prieš studijas, kad žinai ten kietas atrodyčiau prieš visus'
'Atlaisvins karantiną, reiks įranga tada skruodimui'
'Kad vėliau nebūtų'
'Tai va, pagaminsi kokį patiekalą iš studijų, pavalgom ir skruodžiam. Pavalgius aš ten įsivaizduoju įdomesnis procesas gaunas'
'Tai gal ta proga atfollowink per ig xd Apsitarsim ten kokių peiliukų reik ir panašiai'
'Man rods tu pirma pasakei, kad mano handle atrodo kaip jurgi-sad ir nuo to laiko visi pradėjo taip sakyt &colon;D'
'Galvojau pasikeist net, bet kinda funny tai pasilikau'
'Aš mėgstu žaisti krepšinį, aš mėgstu būti su draugais, aš mėgstu greitį. Mėgau greitį ir kelyje, bet dabar tenka viską mokytis iš naujo...'
'Žinai, jaučiu labai nepatiks tau tada mano spotify anthem ar kas ten skaitos xd'
'Prasilenkia su bio tavo xd'
'O tu va paimk negatyvą visą, ir tarp šitų parašyk  |   |'
'Nu reiks man lėčiau tada biški, bet kaipnors'
'Žinai, žiauriai smagu Palangoj ten dviračių taku per pušyną. Važiavus ten?'
'I mean, jei netyčia kažkada ten būsi, tai gali rimtai parašyt prasivažiuot, always down for some cruising &colon;D'
'Shiaip, labai pritariu shiam jūsų nusistatymui priesh tokį rashimą'
'Ayeo, kas pinky pirštui buvo ten pirmoj foto?'
'Damn, ką jau prisidirbo žmogus, kad tiek stipriai trenkt'
'Man užteko suvartymo tokio, nereik net trenkt jau xd'
'Tai nene, patiko man šitas'
'Just realised būsiu tarp bitches su tuo pinky komentaru, tai irgi sry xd'
'Ahh yes, dažniausias vardas moteriškas - Dariukas, classic'
'Juokingiausia, kad atrodo, jog ant to pakabuko ir parašyta Dariukas'
'Weird, nerašo šiaip pirma niekad&colon;D'
'Tai nu baikk, raudonuot juk pradėsiu'
'Oi kaip piratiškos kepurės pavydžiu, labai jau nicee'
'Nu ok, reik pradėt ieškot kepurės piratiškos tada. Yra laiko, vis tiek kol čia atsidarys tas pasaulis'
'Bet nu realiai ir namie su ja sėdėt gali, labai universali'
'Ir į jūrą išplaukt plėšt keleivinių laivų tibka'
'Wait, dabar pamačiau, kad 14km atstumas. Bijau dabar, kad pažinosiu netyčia &colon;Dd'
'Tai dar gali kortelės skaičiukus'
'Ten tą ilgą, datą ir tuos 3 gale'
'Nereikia, užtenka jau iš praeitos'
'Okay okay, kaip ir dera piratui - prie uosto'
'Žinau žinau'
'Užsikačialinus klasiokė, jei jau 💪'
'Sekmadienį rankas daryt, va čia tai dedikacija jau'
'Aš tai oj koks miręs po savaitės, viską skauda, nieko nenoriu net daryt'
'Po koronos pirma savaitė tokio intensyvesnio sporto, tai jau baisu'
'Galimai'
'Nu ne galimai, taip buvau xd'
'Šiaip nebuvo blogai, tik kad labai ilgai. Mėnesį su puse 37 temperatūra laikės, o su tokia aš blogiau jaučiuos, nei su 39'
'Tai nu pragulėjau toks lavonėlis mėnesį bent, tada jau tiesiog prisiverčiau kažką ten po biški, bet vis tiek laikės 37'
'Tai va, vakcinuokis, real stuff čia'
'O gal esu aš valstybės puppet, kuris skleidžia propagandą, nežinosi čia'
'Bliam žinai juokinga, kol neatsiranda artimam rate &colon;D'
'Tipo nu gaila man dabar jų labiau, o ne juokinga tiek'
'Still agagagaga tikrai mintyse pasakau, kai tuos komentarus fb perskaitau'
'Nu, taigi noriu aš jau iš šito Bažnytkaimo išvažiuot'
'O tie savo gieda'
'Nene, aplamai, nesiskiepyjantįs'
'Tai šeimai irgi ne smagiausia namie sėdėt, bet va pagaliau gavom leidimą į Palangą įvažiuot, tai vis kažkas'
'Prisimazinau ten, kad reikia man atlikt būtinai Palangoje reabilitaciją, tai gavom raštą xd'
'Sportinė, po operacijos'
'Nu realiai tiesiog eisiu į lengvosios treniruotės, tokia ir reabilitacija'
'O nesinori į mokyklą jau? Man kaip ir nieko tas nuotolinis, bet labai jau sunku prisiverst kartais kreipt dėmesį į tas pamokas, o mokykloj tai pasirinkimo nėra'
'Hear me out- susikūriau tinder, kad pabendraut, realiai man už 13d tik sueis tas 18, just wanna be straight forward.'
'O apie miega tai jooo'
'Man kas antrą savaitę 3 pamoka būna savarankiška, o tvarkaraštis toks, kad iki 4 tadienio pirmų dviejų šiaip nėra'
'Tai iki 11h miegot galiu, fun stuff tada būna'
'Ir same, draugai labai pagerina visą mokyklos experience'
'Va ko mane išmokė lengvoji, tai išsitiest &colon;Dd'
'Pagaunu visada save, nes &quot;ko vaikštai sulinkęs kaip futbolininkas&quot; vis sakydavo treneris, tai kažkaip nesmagu būdavo&colon;D'
'Tai ir teko išmokt tiesiam būt'
'Ah yes, su badmintonu same buvo'
'Tipo, kad pasiruošęs būtum or smth'
'Aš tai dar maniau, kad ten Palangos baseino kambarys persirengimo toj foto&colon;D, nes nu grynai taip pat atrodo'
'Tai irgi buvo priežastis, kad galvojau netyčia gal pažįstu&colon;D'
'Tai Klaipėdoj ir mokaisi, yeah?'
'Jūrininkystės akademijoje, kad panaudot kepurę palei paskirtį'
'Tai jei žinai į kokį tualetą reiks nueit, niekas neišvys tavęs'
'Pritapsi'
'Jei nieko prieš, gal per ig geriau rašytis būtų&colon;D'
'Ai žinai, gramus vaikam stumdau'
'Nene, nesileidžiu į venas aš to meth. Šiaip belekiek laiko jau esu ten ir tiek, pažįstamų&sol;klasiokų daug'
'Tas ig ant tavo bio labai jau matytas pasirodė ir tada prisiminiau kur&colon;D'
'Duchai mc lošia'
'Neprisiverčiu to mc žaist, per daug darbo ten'
'Debate&apos;inu dbr ar jungtis į servą, kai restartą darys'
'Nu aš tai nelošiau dar iki dabar'
'Ir manau nelabai ką padėtų tos papildomos h prie mc šiuo momentu'
'Groju pagrindinai, mokaus'
'Kaip su anglų xd'
'Merginų svajonė būtų'
'Jei negročiau, o gražiai groçiau'
'O tu ką geresnio?'
'Bliam jo, nueini į garaža ir būni tiesiog'
'Mėgstamiausia veikla'
'Dar patinka parduotuvėj irgi atsistot ir būt tiesiog'
'Aš tai va kaip tik, meh garažas, automobiliai. Va geriau įleistų į kokį maniežą per tą karantiną'
'Va tada pilnos laimės kelnės būtų'
'Neteisybė'
'Aš tai ten net prašymus pildyt turiu, kad įleistų į kitą savivaldybę, nes tik ten normalus'
'Pabūt irgi ane varysi xd?'
'Čia su jojimu susiję ar kokia lengvoji atletika?'
'O tai neuždaryta ten viskas? Atsipūtė tie tauragiškiai'
'Man tai ten reik primalt visko, kad tipo reabilitacijos negaliu atlikt namie'
'Prisirizikuosit, nėra labai jau fun ta corona xd mėnesį su temperatūra sėdėjau'
'Fun fact - niekad neturėjau ilgų plaukų iki +- 8-tos klasės, tai nežinojau, kad garbanotas esu'
'Game changer buvo, kai pasakė kirpėjas, kad pabandyčiau mažiau šukuot ir ilgiau augint'
'Įdėkite dar cepelinų!'
'Gal tu 1863-64m.? Nes man sukilimas žemesnėje klasėje.'
'Ačiū, kad priminei, bet šiuo metu kitokią taktiką bandau'
'Su atrištais visada būnu, nes atsirišę batai neatsiriš dar daugiau'
'Perpratau sistemą'
'Bet realiai tokį jau turim, nieko nedaro ir laukia, kol išsispręs pačios problemos'
'Bet apie politiką ne čia, o facebooke po delfi straipsnių komentuot kartu su visais 40-mečiais reikia kalbėt'
'Oi susivėlė ten žodžiai, ne koks prezidentas būčiau...'
'No way, kažkas 1-upino mano vasaros tinklinio istoriją...'
'Tai va 2v2 eisim, aš su savo geriausiu draugu Kuzminsku, kuris kartą pasakė &quot;įdomus servas&quot; ir tu su savo basically geriausiu draugu Nausėda'
'Tai nesirašot jūs daily? Damn, toks ir draugas'
'Bet šiaip žygiai - žiauriai geras dalykas. Pats keliuose bandau kiekvienais metais dalyvaut, tik šiti metai tokie sunkesni buvo šiuo atžvilgiu'
'Tai arbatos ar kavos šiltos po adialu atsigulus atsigerk ir viskas ok bus.'
'Nu reikėjo pasirašyt, dar galvosi vėliau, kad nukopijavau visą laišką iš google or smth'
'Nu aš įsivaizduoju, kad tiek iš google line&apos;ų čia prirašo, kad viskas įtartinai atrodo jau. Better safe than sorry'
'Hey skinny, I&apos;m Jurgis'
'Pala, kaip žinutę ištrint? Smh'
'Aww, tyty. Tie patys žodžiai tau'
'Kretingos&sol;Palangos, kurioje dažnai tenka labai būt'
'Spėju iš Klaipėdos pati, taip?'
'Manau daug smagiau uždarytai Klaipėdoj būt, nei šitam bažnytkaimy&colon;D'
'Ant tiek nuobodu per karantiną, kad net iki paštomatų ir parduotuves pesčiom vaikščiot pradėjau'
'Nemeluosiu 20d trūksta, neišlaukiau&colon;D, labai jau nuobodžiavau namie..'
'Niekam problemų nesukelsiu, vis tiek tokiu laikotarpiu tik pabendrauti ir galima'
'Kaip pataikei, kaip tik atsivedė manoji katė vaikelių, tai kurį norėsi?'
'Taip smalsu pasidarė - yra kažkas pirmą žinutę parašęs tiesiog - &quot;Ne, negalim&quot;. Nes šiaip baimė pralaimėt, kaip čia atrodys.. Rusty tie mc skillai palikę'
'Oj ta 6-ta klasė, paprastesni laikai'
